adid,keyword,seoUrl,shortDescription,displayableStreet,suburb,state,postcode
504869612,Liquidation,https://www.realcommercial.com.au/for-sale/property-471-505-loganlea-road-slacks-creek-qld-4127-504869612,"LIQUIDATION: DA APPROVED PAINT BALL COMPLEX

OWNER RETIREMENT WILL BE SOLD",471-505 Loganlea Road,Slacks Creek,QLD,4127
504857924,Liquidation,https://www.realcommercial.com.au/for-sale/property-26-75-waterway-drive-coomera-qld-4209-504857924,"Immediate Liquidation - Modern Functional Warehouse Must Be Sold, Present All Offers!",26/75 Waterway Drive,Coomera,QLD,4209
504857536,Liquidation,https://www.realcommercial.com.au/for-sale/property-2571-jervois-road-jervois-sa-5259-504857536,Expansive Industrial Holding with Multiple Titles,2571 Jervois Road,Jervois,SA,5259
504820528,Liquidation,https://www.realcommercial.com.au/for-sale/property-1604-wynnum-rd-tingalpa-qld-4173-504820528,"Sellers must liquidate - $4,600,000",1604 Wynnum Rd,Tingalpa,QLD,4173
504894676,Liquidation,https://www.realcommercial.com.au/for-sale/property-21-burgoyne-street-roxby-downs-sa-5725-504894676,Jewel Near the Mine – Must Be Sold,21 Burgoyne Street,Roxby Downs,SA,5725
504849076,Liquidation,https://www.realcommercial.com.au/for-sale/property-16-hampshire-street-archerfield-qld-4108-504849076,CONTAINER FRIENDLY FREESTANDER IN KEY LOCATION,16 Hampshire Street,Archerfield,QLD,4108
504872872,Liquidation,https://www.realcommercial.com.au/for-sale/property-2072-logan-road-upper-mount-gravatt-qld-4122-504872872,Overseas Owner Liquidates Blue Chip Office Building,2072 Logan Road,Upper Mount Gravatt,QLD,4122
504905524,Liquidation,https://www.realcommercial.com.au/for-sale/property-lot-1-and-lot-f-silcocks-road-churchill-vic-3842-504905524,Lot 1 and Lot F Silcocks Road,Lot 1 and Lot F Silcocks Road,Churchill,VIC,3842
504834268,Liquidation,https://www.realcommercial.com.au/for-sale/property-63-rock-pool-road-mount-beauty-vic-3699-504834268,63 Rock Pool Road,63 Rock Pool Road,Mount Beauty,VIC,3699
504822780,Liquidation,https://www.realcommercial.com.au/for-sale/property-59-smith-street-fitzroy-vic-3065-504822780,59 Smith Street,59 Smith Street,Fitzroy,VIC,3065
504813384,Liquidation,https://www.realcommercial.com.au/for-sale/property-39-40-5-15-sharpe-avenue-karratha-wa-6714-504813384,"39 & 40, 5-15 Sharpe Avenue","39 & 40, 5-15 Sharpe Avenue",Karratha,WA,6714
504812608,Liquidation,https://www.realcommercial.com.au/for-sale/property-unit-40-5-15-sharpe-avenue-karratha-wa-6714-504812608,"Unit 40, 5-15 Sharpe Avenue","Unit 40, 5-15 Sharpe Avenue",Karratha,WA,6714
504810740,Liquidation,https://www.realcommercial.com.au/for-sale/property-unit-39-5-15-sharpe-avenue-karratha-wa-6714-504810740,"Unit 39, 5-15 Sharpe Avenue","Unit 39, 5-15 Sharpe Avenue",Karratha,WA,6714
504797844,Liquidation,https://www.realcommercial.com.au/for-sale/property-66-eltons-road-and-lot-832-taylors-road-silverdale-nsw-2752-504797844,66 Eltons Road and Lot 832 Taylors Road,66 Eltons Road and Lot 832 Taylors Road,Silverdale,NSW,2752
504794464,Liquidation,https://www.realcommercial.com.au/for-sale/property-34-mill-street-mossman-qld-4873-504794464,34 Mill Street,34 Mill Street,Mossman,QLD,4873
504783896,Liquidation,https://www.realcommercial.com.au/for-sale/property-265-abeckett-road-bunyip-vic-3815-504783896,265 Abeckett Road,265 Abeckett Road,Bunyip,VIC,3815
504726156,Liquidation,https://www.realcommercial.com.au/for-sale/property-parramatta-retail-30-hunter-street-parramatta-nsw-2150-504726156,"Parramatta Retail, 30 Hunter Street","Parramatta Retail, 30 Hunter Street",Parramatta,NSW,2150
504725512,Liquidation,https://www.realcommercial.com.au/for-sale/property-10-enterprise-drive-beresfield-nsw-2322-504725512,10 Enterprise Drive,10 Enterprise Drive,Beresfield,NSW,2322
504720580,Liquidation,https://www.realcommercial.com.au/for-sale/property-infinity-green-square-retail-305-botany-road-zetland-nsw-2017-504720580,"INFINITY GREEN SQUARE RETAIL, 305 Botany Road","INFINITY GREEN SQUARE RETAIL, 305 Botany Road",Zetland,NSW,2017
504658968,Liquidation,https://www.realcommercial.com.au/for-sale/property-234-clarinda-street-parkes-nsw-2870-504658968,234 Clarinda Street,234 Clarinda Street,Parkes,NSW,2870
504595964,Liquidation,https://www.realcommercial.com.au/for-sale/property-gateway-marina-burnett-heads-qld-4670-504595964,Gateway Marina,Gateway Marina,Burnett Heads,QLD,4670
504517464,Liquidation,https://www.realcommercial.com.au/for-sale/property-61-cowpasture-road-leppington-nsw-2179-504517464,61 Cowpasture Road,61 Cowpasture Road,Leppington,NSW,2179
504469180,Liquidation,https://www.realcommercial.com.au/for-sale/property-3579-dowerin-meckering-road-quelagetting-wa-6405-504469180,3579 Dowerin-Meckering Road,3579 Dowerin-Meckering Road,Quelagetting,WA,6405
